"subj_idx","stim","stim_PM","stim_noPM","rt","response","trialno","TBdist","TSdist","SBdist","Helpful"
"1","Rem","PM","noPM","0.68404","1","21","0.0068056","0.5","0.49319","7"
"1","Rem","PM","noPM","0.73482","1","22","0.0068056","0.16667","0.17347","7"
"1","Rem","PM","noPM","0.66508","1","23","0.0068056","0.25","0.25681","7"
"1","Rem","PM","noPM","0.57355","1","24","0.0068056","0.16667","0.17347","7"
"1","Rem","PM","noPM","1.287","0","25","0.0068056","0.083333","0.076528","7"
"1","Rem","PM","noPM","1.0023","1","26","0.0068056","0.083333","0.076528","7"
"1","Rem","PM","noPM","0.9603","1","27","0.0068056","0.33333","0.32653","7"
"1","Rem","PM","noPM","0.65727","1","28","0.0068056","0.33333","0.32653","7"
"1","Rem","PM","noPM","0.75828","1","29","0.0068056","0.33333","0.34014","7"
"1","Rem","PM","noPM","1.2731","1","30","0.0068056","0.33333","0.32653","7"
"1","Rem","PM","noPM","0.77868","1","1","0.00013889","0.5","0.49986","7"
"1","Rem","PM","noPM","1.391","1","3","0.00013889","0.5","0.49986","7"
"1","Rem","PM","noPM","0.82089","1","4","0.00013889","0.16667","0.16653","7"
"1","Rem","PM","noPM","0.7551","1","5","0.00013889","0.083333","0.083472","7"
"1","Rem","PM","noPM","0.68509","1","6","0.00013889","0.16667","0.16653","7"
"1","Rem","PM","noPM","0.91141","1","7","0.00013889","0.16667","0.16681","7"
"1","Rem","PM","noPM","0.71346","1","8","0.00013889","0.33333","0.33319","7"
"1","Rem","PM","noPM","0.61743","1","9","0.00013889","0.5","0.49986","7"
"1","Rem","PM","noPM","0.95946","0","10","0.00013889","0.41667","0.41681","7"
"1","Rem","PM","noPM","1.0968","1","11","0.00013889","0.41667","0.41681","7"
"1","Rem","PM","noPM","0.67498","1","12","0.00013889","0.41667","0.41681","7"
"1","Rem","PM","noPM","0.9149","1","14","0.00013889","0.33333","0.33347","7"
"1","Rem","PM","noPM","0.62032","1","15","0.00013889","0.33333","0.33347","7"
"1","Rem","PM","noPM","0.75529","1","16","0.00013889","0.33333","0.33347","7"
"1","Rem","PM","noPM","0.54699","1","17","0.00013889","0.33333","0.33319","7"
"1","Rem","PM","noPM","0.62073","0","18","0.00013889","0.41667","0.41681","7"
"1","Rem","PM","noPM","0.92405","1","19","0.00013889","0.16667","0.16681","7"
"1","Rem","PM","noPM","0.86987","0","20","0.00013889","0.33333","0.33347","7"
"1","Rem","PM","noPM","0.69899","1","21","0.00013889","0.16667","0.16653","7"
"1","Rem","PM","noPM","1.09","1","23","0.00013889","0.16667","0.16681","7"
"1","Rem","PM","noPM","0.8688","0","24","0.00013889","0.083333","0.083472","7"
"1","Rem","PM","noPM","0.64995","1","25","0.00013889","0.083333","0.083472","7"
"1","Rem","PM","noPM","0.5599","1","26","0.00013889","0.083333","0.083472","7"
"1","Rem","PM","noPM","1.8815","1","27","0.00013889","0.33333","0.33319","7"
"1","Rem","PM","noPM","1.2131","1","28","0.00013889","0.5","0.49986","7"
"1","Rem","PM","noPM","0.5548","1","29","0.00013889","0.33333","0.33319","7"
"1","Rem","PM","noPM","0.70759","1","30","0.00013889","0.16667","0.16653","7"
"1","Rem","PM","noPM","0.82446","1","1","0.0085278","0.16667","0.15814","7"
"1","Rem","PM","noPM","0.71779","1","2","0.0085278","0.33333","0.34186","7"
"1","Rem","PM","noPM","0.7358","1","3","0.0085278","0.5","0.49147","7"
"1","Rem","PM","noPM","0.75167","1","4","0.0085278","0.5","0.49147","7"
"1","Rem","PM","noPM","0.70426","1","5","0.0085278","0.16667","0.15814","7"
"1","Rem","PM","noPM","0.80399","1","6","0.0085278","0.16667","0.17519","7"
"1","Rem","PM","noPM","0.88048","1","7","0.0085278","0.083333","0.074806","7"
"1","Rem","PM","noPM","0.71527","1","8","0.0085278","0.16667","0.17519","7"
"1","Rem","PM","noPM","0.66779","1","9","0.0085278","0.16667","0.17519","7"
