,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(noPM).12,1.2245542977755404,0.06161529471393879,1.1107838850473748,1.1785460975961366,1.2252542004158193,1.2689733816294224,1.3416289347648556,0.0021711609167330216
a_subj(noPM).13,1.468112800540822,0.04380099241812504,1.3868119235493088,1.4377499849492976,1.4661885771492846,1.4959167645190419,1.559137403577185,0.0007056856090294222
a_subj(noPM).14,1.1030445530905841,0.026788020788030567,1.0524411274873455,1.0848953220487607,1.1021019188137369,1.1202107387241944,1.1588161473875682,0.00041185675222334925
a_subj(noPM).15,0.9254236112630895,0.022792100626055894,0.8816637745297355,0.9097629633328121,0.9250405676706336,0.9404902258521789,0.9708577650320627,0.00027989722937994904
a_subj(noPM).16,1.4089881282656604,0.0409255763603209,1.3324536982554172,1.380473098488628,1.4075904612864394,1.435934434325987,1.4923691219138755,0.0006144597559262458
a_subj(noPM).17,0.9624585917022908,0.023076208455012973,0.9181384572044797,0.9468859530427262,0.9621923968967901,0.9778195187794527,1.0091126890366258,0.0002983837182835598
a_subj(noPM).18,1.0824925370030154,0.0330319895029994,1.020734925347045,1.059829382730152,1.0817912401917478,1.1042050751513082,1.1495187290074833,0.00045235778479829137
a_subj(noPM).19,1.1634104709896256,0.04279580435854245,1.082513100189363,1.1344133434304013,1.1618937720408224,1.191410727911381,1.2515624660394016,0.0008655501080656154
a_subj(noPM).20,1.4979334727534384,0.053864384837233124,1.3990277897626748,1.4605304907170469,1.4963063713257068,1.533105380878499,1.6093587231957955,0.0008934187173475924
a_subj(noPM).21,1.0716166600516968,0.045139047529363235,0.9921219372059865,1.039151788112887,1.0691574897512286,1.1017745851738865,1.165521069337361,0.0008764429345795481
a_subj(noPM).22,1.1687844612832625,0.030098219948697304,1.1083195765941074,1.1490283861833261,1.168590560415717,1.1886749529809988,1.2280405183094165,0.0003861145182254149
a_subj(noPM).23,1.0739152629626465,0.03230143193844242,1.0135270145691766,1.0519593197256607,1.0725897737099153,1.0944174200014527,1.1400518968134927,0.00045594446755035684
a_subj(noPM).24,1.4862856700915716,0.03853159533358786,1.4122802808066894,1.4598515346656962,1.4857447918684314,1.5114707014740127,1.564637995285024,0.0005441118338098258
a_subj(noPM).25,1.197520796316886,0.02676096742943973,1.145533885219235,1.1794020883911576,1.1972859606392368,1.2152752660121413,1.2507592946179071,0.00029915841977738006
a_subj(noPM).26,1.0481239436078966,0.02758015719397298,0.9942269120322654,1.029422891480496,1.047856840312666,1.0663502903266961,1.1040077797036143,0.0003598630864644777
a_subj(noPM).27,1.1375938253527524,0.03557904979680587,1.0710181966028045,1.11289567861327,1.136509864371044,1.161047669421959,1.2096905500111488,0.00046389610063563724
