,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.30,1.2309319254840887,0.023631571022096128,1.1854268643384822,1.2148324012753184,1.2305820230502658,1.2463100220782946,1.2783428806306232,0.00036651137839428084
a_subj.31,0.9685697253095855,0.014603722109365171,0.940067136771572,0.9588116260566463,0.9683042869646609,0.9785584278551221,0.9969538931644844,0.00017583546255244722
a_subj.32,1.3407425518295377,0.025676881448217042,1.2924225560505003,1.3230759512804744,1.3397647340599135,1.3572536557614523,1.393517299976016,0.00042194780227890487
a_subj.33,1.2441369884595117,0.02566685882577375,1.1946033830308869,1.2265787580444403,1.243705400151791,1.261089608720278,1.296286772622609,0.00039280028534688903
a_subj.34,1.130279296290726,0.0190968692148714,1.0939950601008719,1.1169496140023252,1.1300756736203244,1.1430600342817772,1.1686743317859218,0.00023814053913649708
a_subj.35,1.2499946530953183,0.018466690737503608,1.2143862133668257,1.2372416668006088,1.2495662242263121,1.2624285217434421,1.286759968424592,0.00024401243345965803
a_subj.36,0.9723832609611127,0.01684665432324974,0.9401271872177778,0.9609190698557075,0.9718039734962068,0.9836352933242681,1.0060693910743246,0.0002537168227745066
v,1.8537790452088299,0.12368492716221101,1.6101926963871824,1.7711529121203313,1.8530996438484235,1.9356299122040856,2.0978905387503115,0.0013354207446241333
v_std,0.7235484172474071,0.0945142085524103,0.5631129197967537,0.6572499969894104,0.7153227616972551,0.7804609098769653,0.9330343833160635,0.0021302427922271386
v_subj.1,1.8286924582547683,0.059337463925898844,1.7125438308020007,1.7881141838111074,1.8282578309579134,1.8690502010507049,1.9449815306325773,0.0007118354147782923
v_subj.2,1.6940282729487635,0.06244888504394792,1.5720882966013237,1.6524829181728913,1.6941250256397449,1.7357123205726568,1.8173736439040138,0.0006810891471915316
v_subj.3,2.53173828344486,0.07572916532438854,2.387266169960755,2.479250985767803,2.5318719967070615,2.58358269532424,2.678057230393521,0.0007825027825149629
v_subj.4,1.772824506479323,0.05837264306166487,1.6589910328936353,1.733080987762404,1.7723393858332106,1.8125717381982083,1.8886224849718398,0.0005528373501303888
v_subj.5,4.220700302881848,0.27684278330107936,3.5519957434942873,4.067881034534786,4.255543085855741,4.4098164213357665,4.689252248887747,0.021437117114645805
v_subj.6,2.3909232120667427,0.07635791306427203,2.2420403927661887,2.3395426839983835,2.3905326273850847,2.4427011443306683,2.5403670570984174,0.0008766066689916408
v_subj.7,1.5783246806818834,0.06234207996411628,1.4551105540339948,1.536423625096503,1.5786062496878244,1.620648832079754,1.700017698367722,0.0006269043845394074
v_subj.8,2.17914833375681,0.06615732942910099,2.0500770453908914,2.1350144377342124,2.1791072338653867,2.2230312314232985,2.3105616459042646,0.0008124099130834719
v_subj.9,0.9676698058228395,0.05956296478803965,0.8487223419121006,0.9276637744015275,0.9679064249447341,1.0080625816373867,1.0826023355336591,0.00048040570811918036
v_subj.10,2.6199947980347362,0.08156167812824984,2.463857480993787,2.5641717430591453,2.619029963573098,2.674989105868784,2.7792605175339364,0.0009100526524211781
v_subj.11,1.7046561097602684,0.05953947289722737,1.5865931335720938,1.6648472444747597,1.7056607141156115,1.7457407505415325,1.8202834766100398,0.0006487818155390421
v_subj.12,2.33838739626379,0.07392617912088326,2.19505824072348,2.2877904450911033,2.3387938162910458,2.38795080366124,2.4832184500679664,0.0009333259407374129
v_subj.13,1.4671652984182266,0.049224127394675805,1.371070827818574,1.4335906311104287,1.4668190026695038,1.500403896048405,1.5631707491305877,0.0004907349018530949
v_subj.14,0.6487294192583217,0.047209433463001875,0.5558320040287722,0.6170347512118701,0.6489228379717576,0.6801624771711581,0.7416434323453771,0.00041251326829603766
v_subj.15,1.313933814921168,0.06166178183837325,1.193048737578511,1.2719896519169274,1.3138586338484903,1.3555856501868813,1.435102977812879,0.0005411824355253139
v_subj.16,1.4447778982236872,0.05105911473384954,1.345011618243472,1.4099795607181143,1.4446247878645166,1.4788998769409727,1.547452598816514,0.0005097714401874814
v_subj.17,1.2542062947415564,0.060596484408903695,1.1357902268400089,1.2133191332857092,1.2541259927090143,1.295038975899491,1.372608588004415,0.0005203445607084199
v_subj.18,2.3609702131790464,0.07533535595425944,2.214802994466459,2.309974675622809,2.3600933532966843,2.4112775424348465,2.511305396635719,0.0008565176184614354
v_subj.19,2.8552202133458695,0.08559324610988418,2.6867260002434197,2.798351052256809,2.8549177817185045,2.912335561561315,3.0226924032252365,0.0012416814800931498
v_subj.20,2.1012149603921473,0.0653184454322053,1.97414610207231,2.057891431776856,2.100821916860595,2.1446780305119835,2.231335915368962,0.0007478584344140747
v_subj.21,2.730501559661062,0.08257334845154275,2.572620382625061,2.6742534974194063,2.7300762566967416,2.7858313496939813,2.894260735944962,0.0009387060052127663
v_subj.22,1.2115772489951235,0.05481362522103318,1.1032386858889183,1.1752586287723583,1.211844820719982,1.248634475863976,1.3184787278594639,0.0004829420921314292
v_subj.23,2.0293158242425107,0.06480472837679711,1.9048807583067013,1.9847194886935542,2.0284714855080432,2.0729181860182533,2.158195633384091,0.0006857992906041772
v_subj.24,1.1318272503157885,0.04650277248835176,1.040824398129811,1.1005654052590081,1.1317160220401856,1.1638966037644114,1.222389287721978,0.0004238730346728408
v_subj.25,0.561113224614468,0.04944329333117774,0.4644106706340244,0.5281716591946863,0.5605831676194909,0.5939261483167346,0.6592638687288996,0.0004090142755918194
v_subj.26,1.4090189221023728,0.05834345115571316,1.2954260227790408,1.3689874696889546,1.4092889063115128,1.448915865207231,1.5230733454781413,0.0005225128675055437
v_subj.27,1.8969695913461755,0.06303106862606798,1.772571815667432,1.8542792247215911,1.897049653129435,1.9387594396556538,2.02219267231496,0.0006372250119321404
v_subj.28,1.75420732325512,0.05459870923571314,1.647313025707314,1.7172942046124238,1.7539739361989513,1.7904486187589876,1.8618075556347597,0.0006343543655384276
v_subj.29,2.4174866274173583,0.07212336512504144,2.277971730445849,2.368671504092263,2.4169377103898944,2.4665185106691343,2.5594151761359147,0.0011339983647356247
